record_uid,lead_id,listing_id,lead_channel_key,buyer_intent,qualified_flag,lead_status,budget_band,lead_timestamp,_gold_created_at,_gold_schema_version
LEAD-PHY-0000026,LED-00000026,LST-0011771,4,Medium,false,new,1Cr-2Cr,2024-12-23T04:06:59.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000027,LED-00000027,LST-0017897,4,Exploratory,true,qualified,1Cr-2Cr,2026-04-24T05:00:51.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000028,LED-00000028,LST-0019444,4,Exploratory,false,closed_unqualified,50L-1Cr,2026-05-10T10:14:34.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000029,LED-00000029,LST-0021629,1,Medium,false,closed_unqualified,5Cr+,2026-03-11T08:58:41.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000030,LED-00000030,LST-0029773,2,Medium,true,qualified,1Cr-2Cr,2025-10-01T02:08:50.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000031,LED-00000031,LST-0027405,4,High,false,contacted,1Cr-2Cr,2025-08-21T12:09:55.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000032,LED-00000032,LST-0007592,4,High,false,closed_unqualified,50L-1Cr,2025-10-31T21:48:04.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000033,LED-00000033,LST-0011237,6,Medium,false,new,50L-1Cr,2026-05-25T02:53:56.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000034,LED-00000034,LST-0014433,4,Medium,false,contacted,50L-1Cr,2026-03-30T03:49:32.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000035,LED-00000035,LST-0028770,4,Exploratory,true,qualified,50L-1Cr,2026-02-14T14:23:14.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000037,LED-00000037,LST-0000220,4,Exploratory,false,closed_unqualified,Under 50L,2026-04-04T21:55:35.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000038,LED-00000038,LST-0009303,1,Exploratory,false,closed_unqualified,Under 50L,2024-11-08T15:24:01.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000039,LED-00000039,LST-0020273,2,Medium,false,closed_unqualified,1Cr-2Cr,2026-02-23T00:19:43.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000040,LED-00000040,LST-0005313,2,Medium,true,negotiation,2Cr-5Cr,2024-09-10T13:13:21.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000041,LED-00000041,LST-0027320,4,Medium,false,new,2Cr-5Cr,2026-05-22T10:17:23.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000042,LED-00000042,LST-0008610,2,Medium,true,negotiation,Under 50L,2025-10-11T03:05:57.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000043,LED-00000043,LST-0017096,1,Exploratory,false,contacted,1Cr-2Cr,2026-02-28T17:39:35.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000044,LED-00000044,LST-0015335,3,Exploratory,false,new,1Cr-2Cr,2026-03-14T19:26:39.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000045,LED-00000045,LST-0017842,2,Exploratory,false,new,50L-1Cr,2025-02-19T21:57:19.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000046,LED-00000046,LST-0019127,1,Exploratory,false,new,50L-1Cr,2024-09-24T01:02:42.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000047,LED-00000047,LST-0019561,6,Medium,true,site_visit,Under 50L,2025-01-14T10:12:59.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000048,LED-00000048,LST-0026154,4,Medium,false,closed_unqualified,5Cr+,2026-03-16T06:26:24.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000049,LED-00000049,LST-0032215,1,High,false,new,50L-1Cr,2026-01-24T21:20:16.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000050,LED-00000050,LST-0017722,2,High,false,closed_unqualified,1Cr-2Cr,2025-10-19T23:41:37.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000051,LED-00000051,LST-0001834,4,Medium,false,new,50L-1Cr,2026-02-26T09:40:19.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000052,LED-00000052,LST-0014252,3,Exploratory,true,qualified,1Cr-2Cr,2025-09-05T16:22:21.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000053,LED-00000053,LST-0027788,3,Medium,false,new,2Cr-5Cr,2026-01-21T09:54:44.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000054,LED-00000054,LST-0013377,1,High,false,closed_unqualified,5Cr+,2025-01-17T08:26:34.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000055,LED-00000055,LST-0019533,4,High,false,new,5Cr+,2025-11-18T00:46:24.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000056,LED-00000056,LST-0014670,4,Medium,true,negotiation,50L-1Cr,2025-09-24T08:11:44.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000057,LED-00000057,LST-0035519,4,Medium,false,new,50L-1Cr,2026-05-29T02:55:45.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000058,LED-00000058,LST-0013676,1,Exploratory,true,negotiation,50L-1Cr,2025-12-26T20:21:55.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000059,LED-00000059,LST-0021953,4,High,false,new,Under 50L,2026-03-23T00:48:17.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000060,LED-00000060,LST-0013160,2,Medium,false,new,2Cr-5Cr,2024-11-23T06:31:13.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000061,LED-00000061,LST-0011535,4,High,false,closed_unqualified,Under 50L,2026-04-21T04:25:45.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000062,LED-00000062,LST-0000571,4,Exploratory,true,qualified,2Cr-5Cr,2024-10-17T04:22:19.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000063,LED-00000063,LST-0032074,3,Exploratory,false,new,2Cr-5Cr,2025-08-10T19:15:41.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000064,LED-00000064,LST-0038218,3,High,true,qualified,1Cr-2Cr,2025-02-19T07:51:30.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000065,LED-00000065,LST-0035935,4,Exploratory,false,new,50L-1Cr,2026-03-30T13:15:53.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000066,LED-00000066,LST-0014288,3,High,true,qualified,1Cr-2Cr,2024-07-22T05:49:58.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000067,LED-00000067,LST-0001424,4,Medium,false,new,5Cr+,2026-02-10T18:30:31.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000068,LED-00000068,LST-0027258,2,Exploratory,true,qualified,1Cr-2Cr,2026-05-17T10:02:21.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000069,LED-00000069,LST-0022907,4,Medium,true,qualified,50L-1Cr,2026-03-11T15:57:53.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000070,LED-00000070,LST-0017549,1,Medium,false,new,Under 50L,2025-07-11T06:06:23.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000071,LED-00000071,LST-0026328,1,Medium,false,contacted,2Cr-5Cr,2025-09-05T08:11:23.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000072,LED-00000072,LST-0021705,4,Exploratory,true,qualified,1Cr-2Cr,2025-03-28T09:24:46.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000073,LED-00000073,LST-0036158,3,High,true,site_visit,1Cr-2Cr,2026-03-23T08:52:16.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000074,LED-00000074,LST-0007185,4,Medium,true,site_visit,50L-1Cr,2025-06-01T22:07:27.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000075,LED-00000075,LST-0022502,2,Medium,false,closed_unqualified,50L-1Cr,2025-03-10T16:17:21.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000076,LED-00000076,LST-0018718,1,Exploratory,false,contacted,50L-1Cr,2025-02-28T06:59:38.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000077,LED-00000077,LST-0006174,4,High,false,new,1Cr-2Cr,2026-04-13T05:20:34.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000078,LED-00000078,LST-0032734,4,Exploratory,true,qualified,1Cr-2Cr,2025-08-17T17:51:09.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000079,LED-00000079,LST-0024769,4,Exploratory,false,new,2Cr-5Cr,2025-02-18T15:26:14.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000080,LED-00000080,LST-0020591,4,Exploratory,true,site_visit,50L-1Cr,2025-06-09T14:01:44.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000081,LED-00000081,LST-0006181,4,High,false,new,1Cr-2Cr,2025-08-27T22:23:04.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000082,LED-00000082,LST-0037190,4,Medium,false,new,2Cr-5Cr,2026-03-02T12:39:11.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000083,LED-00000083,LST-0033403,2,Exploratory,false,closed_unqualified,5Cr+,2024-03-13T06:05:29.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000084,LED-00000084,LST-0011853,3,Medium,false,contacted,50L-1Cr,2026-03-15T08:57:44.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000085,LED-00000085,LST-0019836,4,Medium,false,closed_unqualified,1Cr-2Cr,2026-02-18T09:08:24.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000086,LED-00000086,LST-0020115,4,Medium,false,closed_unqualified,2Cr-5Cr,2026-04-22T15:44:08.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000087,LED-00000087,LST-0029355,4,Medium,false,new,50L-1Cr,2024-11-26T14:41:57.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000089,LED-00000089,LST-0013021,1,Exploratory,true,qualified,2Cr-5Cr,2025-05-03T15:05:20.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000090,LED-00000090,LST-0006203,6,Exploratory,false,new,1Cr-2Cr,2026-01-22T11:15:13.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000091,LED-00000091,LST-0004851,2,Medium,false,contacted,1Cr-2Cr,2025-10-21T08:42:33.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000092,LED-00000092,LST-0004987,4,Medium,false,new,Under 50L,2026-03-03T13:29:36.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000093,LED-00000093,LST-0002524,1,Medium,true,qualified,Under 50L,2026-03-19T19:59:03.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000094,LED-00000094,LST-0011676,6,Medium,false,contacted,2Cr-5Cr,2025-11-12T18:26:08.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000095,LED-00000095,LST-0033110,4,Exploratory,false,closed_unqualified,Under 50L,2026-04-15T10:37:34.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000096,LED-00000096,LST-0039463,4,Exploratory,false,new,2Cr-5Cr,2024-11-24T15:45:39.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000097,LED-00000097,LST-0021641,1,Medium,false,closed_unqualified,Under 50L,2026-05-11T17:05:18.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000098,LED-00000098,LST-0012236,4,Medium,false,closed_unqualified,50L-1Cr,2026-02-10T01:26:10.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000099,LED-00000099,LST-0027332,4,High,false,contacted,50L-1Cr,2026-04-07T16:15:19.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000100,LED-00000100,LST-0009373,1,Medium,false,contacted,1Cr-2Cr,2026-05-12T12:05:04.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000101,LED-00000101,LST-0022577,4,High,false,contacted,Under 50L,2025-09-03T21:07:16.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000102,LED-00000102,LST-0027098,2,High,true,qualified,1Cr-2Cr,2026-04-27T09:09:50.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000103,LED-00000103,LST-0009083,6,Medium,false,closed_unqualified,1Cr-2Cr,2024-09-11T23:37:04.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000104,LED-00000104,LST-0017989,4,Medium,true,site_visit,Under 50L,2026-01-18T13:53:04.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000105,LED-00000105,LST-0038580,4,High,true,negotiation,50L-1Cr,2025-10-31T06:30:53.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000106,LED-00000106,LST-0023252,4,Exploratory,true,negotiation,50L-1Cr,2026-03-12T02:21:49.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000107,LED-00000107,LST-0018402,4,High,false,contacted,50L-1Cr,2026-06-22T05:34:29.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000108,LED-00000108,LST-0008362,4,High,false,new,2Cr-5Cr,2026-01-22T23:43:14.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000109,LED-00000109,LST-0034852,1,High,false,new,Under 50L,2025-01-26T14:07:56.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000110,LED-00000110,LST-0014231,4,High,true,negotiation,50L-1Cr,2025-08-06T08:19:15.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000111,LED-00000111,LST-0008260,4,Exploratory,false,new,Under 50L,2026-06-08T01:56:52.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000112,LED-00000112,LST-0036610,6,Medium,false,new,1Cr-2Cr,2025-11-11T03:12:54.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000113,LED-00000113,LST-0035322,6,Medium,true,qualified,1Cr-2Cr,2026-04-22T23:22:05.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000114,LED-00000114,LST-0031444,6,Exploratory,false,contacted,Under 50L,2025-11-10T22:03:49.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000115,LED-00000115,LST-0023544,4,Medium,false,new,50L-1Cr,2026-04-30T06:15:46.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000116,LED-00000116,LST-0028732,4,Medium,true,site_visit,Under 50L,2026-05-18T19:00:00.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000117,LED-00000117,LST-0020401,2,High,true,negotiation,1Cr-2Cr,2026-01-06T19:12:59.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000118,LED-00000118,LST-0031067,3,Exploratory,false,contacted,50L-1Cr,2026-03-29T08:41:43.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000119,LED-00000119,LST-0011023,4,Medium,false,new,5Cr+,2024-12-18T09:05:44.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000120,LED-00000120,LST-0014816,3,Medium,true,site_visit,Under 50L,2026-03-21T21:02:31.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000121,LED-00000121,LST-0038987,4,Exploratory,false,contacted,Under 50L,2026-03-18T04:41:43.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000122,LED-00000122,LST-0024943,4,Exploratory,false,new,1Cr-2Cr,2026-05-25T12:01:31.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000123,LED-00000123,LST-0017269,1,High,true,site_visit,5Cr+,2025-03-04T13:14:32.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000124,LED-00000124,LST-0008356,2,High,true,negotiation,Under 50L,2026-06-21T07:53:15.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000125,LED-00000125,LST-0003550,4,Medium,false,new,2Cr-5Cr,2024-12-21T11:59:16.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000126,LED-00000126,LST-0034382,2,Exploratory,false,contacted,5Cr+,2025-10-28T16:30:24.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000127,LED-00000127,LST-0030018,2,High,true,site_visit,1Cr-2Cr,2024-01-24T20:47:27.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000128,LED-00000128,LST-0004828,4,Exploratory,true,qualified,50L-1Cr,2025-04-05T07:32:04.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000129,LED-00000129,LST-0020450,2,Medium,false,new,1Cr-2Cr,2024-04-14T23:23:01.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000130,LED-00000130,LST-0010314,3,Medium,true,qualified,5Cr+,2025-11-30T12:54:14.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000131,LED-00000131,LST-0028766,4,Medium,false,contacted,50L-1Cr,2025-04-28T20:30:31.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000132,LED-00000132,LST-0039258,4,Exploratory,false,new,50L-1Cr,2024-12-29T10:50:53.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000133,LED-00000133,LST-0013464,4,Medium,true,negotiation,Under 50L,2025-04-22T09:47:59.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000134,LED-00000134,LST-0015406,3,Medium,false,contacted,2Cr-5Cr,2025-11-25T18:10:06.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000135,LED-00000135,LST-0010194,4,High,true,site_visit,Under 50L,2025-11-03T01:09:43.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000136,LED-00000136,LST-0006850,4,High,true,qualified,2Cr-5Cr,2025-08-12T19:45:25.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000137,LED-00000137,LST-0017511,2,Exploratory,false,new,2Cr-5Cr,2024-12-31T16:51:37.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000138,LED-00000138,LST-0033898,1,Medium,true,site_visit,1Cr-2Cr,2026-03-19T22:37:56.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000139,LED-00000139,LST-0027819,5,Medium,false,closed_unqualified,2Cr-5Cr,2026-05-07T04:52:32.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000140,LED-00000140,LST-0005843,2,Medium,true,qualified,Under 50L,2025-03-16T04:05:40.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000141,LED-00000141,LST-0003808,4,Exploratory,false,contacted,50L-1Cr,2026-05-08T21:55:51.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000142,LED-00000142,LST-0001476,4,Exploratory,false,contacted,Under 50L,2025-12-25T03:32:43.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000143,LED-00000143,LST-0032664,1,Exploratory,true,site_visit,1Cr-2Cr,2026-01-21T15:37:37.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000144,LED-00000144,LST-0011738,2,Exploratory,false,closed_unqualified,Under 50L,2026-01-22T08:36:30.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000145,LED-00000145,LST-0013230,2,High,true,qualified,50L-1Cr,2025-10-14T16:23:50.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000146,LED-00000146,LST-0038364,3,Exploratory,false,new,1Cr-2Cr,2025-04-19T02:36:17.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000147,LED-00000147,LST-0004067,3,Medium,false,new,Under 50L,2026-01-17T15:10:51.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000148,LED-00000148,LST-0036496,6,Medium,true,qualified,50L-1Cr,2025-04-25T14:56:16.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000149,LED-00000149,LST-0013370,6,Medium,false,new,1Cr-2Cr,2026-06-13T20:02:37.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
