locality_id,total_listings,avg_days_on_market,stale_listing_count,active_listing_count,_gold_created_at,_gold_schema_version
LOC-044,617,452.4,315,315,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-076,614,437.7,300,300,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-043,599,456.5,287,287,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-053,599,448.0,289,289,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-039,620,461.5,309,309,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-052,623,454.0,312,312,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-046,652,469.8,305,305,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-030,596,441.8,291,291,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-049,591,461.5,284,284,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-078,620,459.3,324,324,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-055,623,433.9,277,277,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-016,602,431.3,266,266,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-017,633,452.9,308,308,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-011,585,458.1,294,294,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-014,646,459.7,303,303,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-008,586,441.9,273,273,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-057,623,464.1,306,306,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-070,636,436.6,287,287,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-069,653,415.6,280,280,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-007,606,454.6,301,301,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-073,620,466.6,283,283,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-023,617,436.2,294,294,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-048,626,460.7,296,296,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-074,640,436.8,293,293,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-015,570,454.0,288,288,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-009,645,456.9,296,296,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-036,608,440.1,296,296,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-065,618,444.1,310,310,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-029,593,440.3,283,283,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-019,607,447.0,294,294,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-034,638,450.4,302,302,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-075,622,444.2,280,280,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-038,604,443.4,280,280,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-022,616,460.1,297,297,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-018,607,445.5,287,287,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-072,628,454.6,324,324,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-020,630,451.6,291,291,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-071,646,463.3,324,324,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-059,581,444.4,298,298,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-054,638,436.2,287,287,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-056,618,447.9,288,288,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-079,605,483.7,309,309,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-010,585,451.4,275,275,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-026,612,456.3,312,312,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-004,638,441.6,308,308,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-058,612,461.4,294,294,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-033,604,468.6,292,292,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-061,627,441.9,298,298,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-024,651,448.7,312,312,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-077,625,454.6,291,291,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-005,589,449.8,281,281,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-068,628,450.5,318,318,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-037,626,439.0,309,309,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-025,598,449.1,287,287,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-028,588,455.4,291,291,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-045,581,456.8,283,283,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
