locality_id,locality_name,city,city_zone,market_segment,total_listings,active_listings,median_listing_price,median_price_per_sqft,_gold_created_at,_gold_schema_version
LOC-067,Pune South Cluster 04,Pune,South,Premium,614,288,17852414,11425,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-060,Chennai Central Cluster 03,Chennai,Central,Luxury,590,276,25528760,17390,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-068,Chennai South Cluster 04,Chennai,South,Luxury,628,318,26089175,17335,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-046,Bengaluru South Cluster 03,Bengaluru,South,Mid-market,652,305,11255600,7433,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-075,Pune West Cluster 04,Pune,West,Premium,622,280,17223150,11916,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-074,Bengaluru West Cluster 04,Bengaluru,West,Mid-market,640,293,11952144,8136,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-080,Chennai Central Cluster 04,Chennai,Central,Luxury,641,288,25880946,17457,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-021,Hyderabad North Cluster 02,Hyderabad,North,Affordable,607,279,8216208,5239,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-061,Hyderabad North Cluster 04,Hyderabad,North,Affordable,627,298,7948465,5211,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-011,Pune East Cluster 01,Pune,East,Premium,585,294,16382656,11266,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-028,Chennai South Cluster 02,Chennai,South,Luxury,588,291,25515726,17225,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-042,Bengaluru North Cluster 03,Bengaluru,North,Mid-market,645,303,11613978,7862,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-064,Chennai North Cluster 04,Chennai,North,Luxury,670,316,25602104,17027,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-071,Pune East Cluster 04,Pune,East,Premium,646,324,17269504,11090,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-058,Bengaluru Central Cluster 03,Bengaluru,Central,Mid-market,612,294,11941916,7931,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-063,Pune North Cluster 04,Pune,North,Premium,590,269,17377162,11765,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-033,Hyderabad West Cluster 02,Hyderabad,West,Affordable,604,292,8238138,5560,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-007,Pune South Cluster 01,Pune,South,Premium,606,301,17464090,11356,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-016,Chennai West Cluster 01,Chennai,West,Luxury,602,266,25509185,16726,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-040,Chennai Central Cluster 02,Chennai,Central,Luxury,620,314,25884144,17787,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-038,Bengaluru Central Cluster 02,Bengaluru,Central,Mid-market,604,280,11986500,8096,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-076,Chennai West Cluster 04,Chennai,West,Luxury,614,300,25238727,16854,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-008,Chennai South Cluster 01,Chennai,South,Luxury,586,273,26098215,17340,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-027,Pune South Cluster 02,Pune,South,Premium,593,283,16809109,11323,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-024,Chennai North Cluster 02,Chennai,North,Luxury,651,312,26228538,17382,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-034,Bengaluru West Cluster 02,Bengaluru,West,Mid-market,638,302,12093471,8164,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-030,Bengaluru East Cluster 02,Bengaluru,East,Mid-market,596,291,12659710,8321,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-019,Pune Central Cluster 01,Pune,Central,Premium,607,294,17347421,11791,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-006,Bengaluru South Cluster 01,Bengaluru,South,Mid-market,591,311,11279016,7513,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-001,Hyderabad North Cluster 01,Hyderabad,North,Affordable,565,270,7877250,5206,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-078,Bengaluru Central Cluster 04,Bengaluru,Central,Mid-market,620,324,12177969,8083,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-066,Bengaluru South Cluster 04,Bengaluru,South,Mid-market,609,281,11282418,7567,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-062,Bengaluru North Cluster 04,Bengaluru,North,Mid-market,603,271,11943505,7870,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-029,Hyderabad East Cluster 02,Hyderabad,East,Affordable,593,283,8478332,5684,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-049,Hyderabad East Cluster 03,Hyderabad,East,Affordable,591,284,9005272,5789,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-059,Pune Central Cluster 03,Pune,Central,Premium,581,298,17629216,11731,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-053,Hyderabad West Cluster 03,Hyderabad,West,Affordable,599,289,8238347,5576,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-041,Hyderabad North Cluster 03,Hyderabad,North,Affordable,578,262,7793968,5161,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-051,Pune East Cluster 03,Pune,East,Premium,592,279,16501432,11162,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-050,Bengaluru East Cluster 03,Bengaluru,East,Mid-market,610,276,12113184,8283,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-032,Chennai East Cluster 02,Chennai,East,Luxury,625,281,26197848,17088,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-035,Pune West Cluster 02,Pune,West,Premium,593,280,17782464,11997,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-013,Hyderabad West Cluster 01,Hyderabad,West,Affordable,592,285,8413741,5546,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-057,Hyderabad Central Cluster 03,Hyderabad,Central,Affordable,623,306,8429118,5404,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-015,Pune West Cluster 01,Pune,West,Premium,570,288,18070420,11753,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-026,Bengaluru South Cluster 02,Bengaluru,South,Mid-market,612,312,11712622,7589,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-045,Hyderabad South Cluster 03,Hyderabad,South,Affordable,581,283,9035136,5974,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-023,Pune North Cluster 02,Pune,North,Premium,617,294,17784792,11305,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-004,Chennai North Cluster 01,Chennai,North,Luxury,638,308,25955083,17470,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-065,Hyderabad South Cluster 04,Hyderabad,South,Affordable,618,310,8564832,5859,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-048,Chennai South Cluster 03,Chennai,South,Luxury,626,296,25542636,17217,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-039,Pune Central Cluster 02,Pune,Central,Premium,620,309,17684923,11761,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-020,Chennai Central Cluster 01,Chennai,Central,Luxury,630,291,26067635,17524,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-031,Pune East Cluster 02,Pune,East,Premium,644,315,16809724,11201,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-005,Hyderabad South Cluster 01,Hyderabad,South,Affordable,589,281,9070802,5909,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-043,Pune North Cluster 03,Pune,North,Premium,599,287,17365937,11662,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-009,Hyderabad East Cluster 01,Hyderabad,East,Affordable,645,296,8488458,5744,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-017,Hyderabad Central Cluster 01,Hyderabad,Central,Affordable,633,308,8283176,5427,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-010,Bengaluru East Cluster 01,Bengaluru,East,Mid-market,585,275,12660240,8275,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
