broker_id,agency_name,city,broker_tier,service_rating,onboarded_date,_gold_created_at,_gold_schema_version
BRK-0066,Propiq Synthetic Agency 066,Bengaluru,Premier,3.5,2024-05-20,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0067,Propiq Synthetic Agency 067,Pune,Standard,3.2,2024-06-08,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0068,Propiq Synthetic Agency 068,Chennai,Verified,4.9,2024-06-27,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0069,Propiq Synthetic Agency 069,Hyderabad,Premier,4.6,2024-07-16,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0070,Propiq Synthetic Agency 070,Bengaluru,Standard,4.3,2024-08-04,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0071,Propiq Synthetic Agency 071,Pune,Verified,4.0,2024-08-23,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0072,Propiq Synthetic Agency 072,Chennai,Premier,3.7,2024-09-11,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0073,Propiq Synthetic Agency 073,Hyderabad,Standard,3.4,2024-09-30,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0074,Propiq Synthetic Agency 074,Bengaluru,Verified,3.1,2024-10-19,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0075,Propiq Synthetic Agency 075,Pune,Premier,4.8,2024-11-07,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0076,Propiq Synthetic Agency 076,Chennai,Standard,4.5,2024-11-26,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0077,Propiq Synthetic Agency 077,Hyderabad,Verified,4.2,2024-12-15,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0078,Propiq Synthetic Agency 078,Bengaluru,Premier,3.9,2025-01-03,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0079,Propiq Synthetic Agency 079,Pune,Standard,3.6,2025-01-22,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0080,Propiq Synthetic Agency 080,Chennai,Verified,3.3,2021-01-02,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0081,Propiq Synthetic Agency 081,Hyderabad,Premier,3.0,2021-01-21,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0082,Propiq Synthetic Agency 082,Bengaluru,Standard,4.7,2021-02-09,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0083,Propiq Synthetic Agency 083,Pune,Verified,4.4,2021-02-28,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0084,Propiq Synthetic Agency 084,Chennai,Premier,4.1,2021-03-19,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0085,Propiq Synthetic Agency 085,Hyderabad,Standard,3.8,2021-04-07,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0086,Propiq Synthetic Agency 086,Bengaluru,Verified,3.5,2021-04-26,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0087,Propiq Synthetic Agency 087,Pune,Premier,3.2,2021-05-15,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0088,Propiq Synthetic Agency 088,Chennai,Standard,4.9,2021-06-03,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0089,Propiq Synthetic Agency 089,Hyderabad,Verified,4.6,2021-06-22,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0090,Propiq Synthetic Agency 090,Bengaluru,Premier,4.3,2021-07-11,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0091,Propiq Synthetic Agency 091,Pune,Standard,4.0,2021-07-30,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0092,Propiq Synthetic Agency 092,Chennai,Verified,3.7,2021-08-18,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0093,Propiq Synthetic Agency 093,Hyderabad,Premier,3.4,2021-09-06,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0094,Propiq Synthetic Agency 094,Bengaluru,Standard,3.1,2021-09-25,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0095,Propiq Synthetic Agency 095,Pune,Verified,4.8,2021-10-14,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0096,Propiq Synthetic Agency 096,Chennai,Premier,4.5,2021-11-02,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0097,Propiq Synthetic Agency 097,Hyderabad,Standard,4.2,2021-11-21,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0098,Propiq Synthetic Agency 098,Bengaluru,Verified,3.9,2021-12-10,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0099,Propiq Synthetic Agency 099,Pune,Premier,3.6,2021-12-29,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0100,Propiq Synthetic Agency 100,Chennai,Standard,3.3,2022-01-17,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0101,Propiq Synthetic Agency 101,Hyderabad,Verified,3.0,2022-02-05,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0102,Propiq Synthetic Agency 102,Bengaluru,Premier,4.7,2022-02-24,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0103,Propiq Synthetic Agency 103,Pune,Standard,4.4,2022-03-15,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0104,Propiq Synthetic Agency 104,Chennai,Verified,4.1,2022-04-03,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0105,Propiq Synthetic Agency 105,Hyderabad,Premier,3.8,2022-04-22,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0106,Propiq Synthetic Agency 106,Bengaluru,Standard,3.5,2022-05-11,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0107,Propiq Synthetic Agency 107,Pune,Verified,3.2,2022-05-30,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0108,Propiq Synthetic Agency 108,Chennai,Premier,4.9,2022-06-18,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0109,Propiq Synthetic Agency 109,Hyderabad,Standard,4.6,2022-07-07,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0110,Propiq Synthetic Agency 110,Bengaluru,Verified,4.3,2022-07-26,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0111,Propiq Synthetic Agency 111,Pune,Premier,4.0,2022-08-14,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0112,Propiq Synthetic Agency 112,Chennai,Standard,3.7,2022-09-02,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0113,Propiq Synthetic Agency 113,Hyderabad,Verified,3.4,2022-09-21,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0114,Propiq Synthetic Agency 114,Bengaluru,Premier,3.1,2022-10-10,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0115,Propiq Synthetic Agency 115,Pune,Standard,4.8,2022-10-29,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0116,Propiq Synthetic Agency 116,Chennai,Verified,4.5,2022-11-17,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0117,Propiq Synthetic Agency 117,Hyderabad,Premier,4.2,2022-12-06,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0118,Propiq Synthetic Agency 118,Bengaluru,Standard,3.9,2022-12-25,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0119,Propiq Synthetic Agency 119,Pune,Verified,3.6,2023-01-13,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0120,Propiq Synthetic Agency 120,Chennai,Premier,3.3,2023-02-01,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0121,Propiq Synthetic Agency 121,Hyderabad,Standard,3.0,2023-02-20,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0122,Propiq Synthetic Agency 122,Bengaluru,Verified,4.7,2023-03-11,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0123,Propiq Synthetic Agency 123,Pune,Premier,4.4,2023-03-30,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0124,Propiq Synthetic Agency 124,Chennai,Standard,4.1,2023-04-18,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0125,Propiq Synthetic Agency 125,Hyderabad,Verified,3.8,2023-05-07,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0126,Propiq Synthetic Agency 126,Bengaluru,Premier,3.5,2023-05-26,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0127,Propiq Synthetic Agency 127,Pune,Standard,3.2,2023-06-14,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0128,Propiq Synthetic Agency 128,Chennai,Verified,4.9,2023-07-03,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0129,Propiq Synthetic Agency 129,Hyderabad,Premier,4.6,2023-07-22,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0130,Propiq Synthetic Agency 130,Bengaluru,Standard,4.3,2023-08-10,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0131,Propiq Synthetic Agency 131,Pune,Verified,4.0,2023-08-29,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0132,Propiq Synthetic Agency 132,Chennai,Premier,3.7,2023-09-17,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0133,Propiq Synthetic Agency 133,Hyderabad,Standard,3.4,2023-10-06,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0134,Propiq Synthetic Agency 134,Bengaluru,Verified,3.1,2023-10-25,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0135,Propiq Synthetic Agency 135,Pune,Premier,4.8,2023-11-13,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0136,Propiq Synthetic Agency 136,Chennai,Standard,4.5,2023-12-02,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0137,Propiq Synthetic Agency 137,Hyderabad,Verified,4.2,2023-12-21,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0138,Propiq Synthetic Agency 138,Bengaluru,Premier,3.9,2024-01-09,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0139,Propiq Synthetic Agency 139,Pune,Standard,3.6,2024-01-28,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0140,Propiq Synthetic Agency 140,Chennai,Verified,3.3,2024-02-16,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0141,Propiq Synthetic Agency 141,Hyderabad,Premier,3.0,2024-03-06,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0142,Propiq Synthetic Agency 142,Bengaluru,Standard,4.7,2024-03-25,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0143,Propiq Synthetic Agency 143,Pune,Verified,4.4,2024-04-13,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0144,Propiq Synthetic Agency 144,Chennai,Premier,4.1,2024-05-02,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0145,Propiq Synthetic Agency 145,Hyderabad,Standard,3.8,2024-05-21,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0146,Propiq Synthetic Agency 146,Bengaluru,Verified,3.5,2024-06-09,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0147,Propiq Synthetic Agency 147,Pune,Premier,3.2,2024-06-28,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0148,Propiq Synthetic Agency 148,Chennai,Standard,4.9,2024-07-17,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0149,Propiq Synthetic Agency 149,Hyderabad,Verified,4.6,2024-08-05,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0150,Propiq Synthetic Agency 150,Bengaluru,Premier,4.3,2024-08-24,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0151,Propiq Synthetic Agency 151,Pune,Standard,4.0,2024-09-12,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0152,Propiq Synthetic Agency 152,Chennai,Verified,3.7,2024-10-01,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0153,Propiq Synthetic Agency 153,Hyderabad,Premier,3.4,2024-10-20,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0154,Propiq Synthetic Agency 154,Bengaluru,Standard,3.1,2024-11-08,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0155,Propiq Synthetic Agency 155,Pune,Verified,4.8,2024-11-27,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0156,Propiq Synthetic Agency 156,Chennai,Premier,4.5,2024-12-16,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0157,Propiq Synthetic Agency 157,Hyderabad,Standard,4.2,2025-01-04,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0158,Propiq Synthetic Agency 158,Bengaluru,Verified,3.9,2025-01-23,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0159,Propiq Synthetic Agency 159,Pune,Premier,3.6,2021-01-03,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0160,Propiq Synthetic Agency 160,Chennai,Standard,3.3,2021-01-22,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0161,Propiq Synthetic Agency 161,Hyderabad,Verified,3.0,2021-02-10,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0162,Propiq Synthetic Agency 162,Bengaluru,Premier,4.7,2021-03-01,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0163,Propiq Synthetic Agency 163,Pune,Standard,4.4,2021-03-20,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0164,Propiq Synthetic Agency 164,Chennai,Verified,4.1,2021-04-08,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0165,Propiq Synthetic Agency 165,Hyderabad,Premier,3.8,2021-04-27,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0166,Propiq Synthetic Agency 166,Bengaluru,Standard,3.5,2021-05-16,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0167,Propiq Synthetic Agency 167,Pune,Verified,3.2,2021-06-04,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0168,Propiq Synthetic Agency 168,Chennai,Premier,4.9,2021-06-23,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0169,Propiq Synthetic Agency 169,Hyderabad,Standard,4.6,2021-07-12,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0170,Propiq Synthetic Agency 170,Bengaluru,Verified,4.3,2021-07-31,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0171,Propiq Synthetic Agency 171,Pune,Premier,4.0,2021-08-19,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0172,Propiq Synthetic Agency 172,Chennai,Standard,3.7,2021-09-07,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0173,Propiq Synthetic Agency 173,Hyderabad,Verified,3.4,2021-09-26,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0174,Propiq Synthetic Agency 174,Bengaluru,Premier,3.1,2021-10-15,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0175,Propiq Synthetic Agency 175,Pune,Standard,4.8,2021-11-03,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0176,Propiq Synthetic Agency 176,Chennai,Verified,4.5,2021-11-22,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0177,Propiq Synthetic Agency 177,Hyderabad,Premier,4.2,2021-12-11,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0178,Propiq Synthetic Agency 178,Bengaluru,Standard,3.9,2021-12-30,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0179,Propiq Synthetic Agency 179,Pune,Verified,3.6,2022-01-18,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0180,Propiq Synthetic Agency 180,Chennai,Premier,3.3,2022-02-06,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0181,Propiq Synthetic Agency 181,Hyderabad,Standard,3.0,2022-02-25,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0182,Propiq Synthetic Agency 182,Bengaluru,Verified,4.7,2022-03-16,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0183,Propiq Synthetic Agency 183,Pune,Premier,4.4,2022-04-04,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0184,Propiq Synthetic Agency 184,Chennai,Standard,4.1,2022-04-23,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0185,Propiq Synthetic Agency 185,Hyderabad,Verified,3.8,2022-05-12,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0186,Propiq Synthetic Agency 186,Bengaluru,Premier,3.5,2022-05-31,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0187,Propiq Synthetic Agency 187,Pune,Standard,3.2,2022-06-19,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0188,Propiq Synthetic Agency 188,Chennai,Verified,4.9,2022-07-08,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0189,Propiq Synthetic Agency 189,Hyderabad,Premier,4.6,2022-07-27,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0190,Propiq Synthetic Agency 190,Bengaluru,Standard,4.3,2022-08-15,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0191,Propiq Synthetic Agency 191,Pune,Verified,4.0,2022-09-03,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0192,Propiq Synthetic Agency 192,Chennai,Premier,3.7,2022-09-22,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0193,Propiq Synthetic Agency 193,Hyderabad,Standard,3.4,2022-10-11,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
