locality_id,locality_name,city,city_zone,market_segment,reference_price_per_sqft,_gold_created_at,_gold_schema_version
LOC-065,Hyderabad South Cluster 04,Hyderabad,South,Affordable,5920,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-066,Bengaluru South Cluster 04,Bengaluru,South,Mid-market,7600,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-067,Pune South Cluster 04,Pune,South,Premium,11380,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-068,Chennai South Cluster 04,Chennai,South,Luxury,17160,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-069,Hyderabad East Cluster 04,Hyderabad,East,Affordable,5740,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-070,Bengaluru East Cluster 04,Bengaluru,East,Mid-market,8320,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-071,Pune East Cluster 04,Pune,East,Premium,11200,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-072,Chennai East Cluster 04,Chennai,East,Luxury,16980,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-073,Hyderabad West Cluster 04,Hyderabad,West,Affordable,5560,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-074,Bengaluru West Cluster 04,Bengaluru,West,Mid-market,8140,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-075,Pune West Cluster 04,Pune,West,Premium,11920,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-076,Chennai West Cluster 04,Chennai,West,Luxury,16800,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-077,Hyderabad Central Cluster 04,Hyderabad,Central,Affordable,5380,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-078,Bengaluru Central Cluster 04,Bengaluru,Central,Mid-market,7960,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-079,Pune Central Cluster 04,Pune,Central,Premium,11740,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-080,Chennai Central Cluster 04,Chennai,Central,Luxury,17520,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
