broker_id,agency_name,broker_tier,total_listings,active_listings,median_listing_price,avg_days_on_market,_gold_created_at,_gold_schema_version
BRK-0291,Propiq Synthetic Agency 291,Premier,167,79,14940156,462.3,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0049,Propiq Synthetic Agency 049,Standard,161,77,15300276,438.6,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0092,Propiq Synthetic Agency 092,Verified,149,71,15556934,460.6,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0074,Propiq Synthetic Agency 074,Verified,164,87,13234871,449.1,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0087,Propiq Synthetic Agency 087,Premier,149,60,14427270,424.8,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0286,Propiq Synthetic Agency 286,Standard,170,84,13368236,455.9,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0020,Propiq Synthetic Agency 020,Verified,148,60,13976100,434.5,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0145,Propiq Synthetic Agency 145,Standard,170,75,14907648,470.9,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0203,Propiq Synthetic Agency 203,Verified,145,68,15017480,453.7,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0110,Propiq Synthetic Agency 110,Verified,151,74,13397392,450.9,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0175,Propiq Synthetic Agency 175,Standard,156,76,15914825,427.3,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0109,Propiq Synthetic Agency 109,Standard,154,86,13699803,443.1,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0186,Propiq Synthetic Agency 186,Premier,155,79,15559960,481.6,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0050,Propiq Synthetic Agency 050,Verified,135,66,13384155,419.3,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0268,Propiq Synthetic Agency 268,Standard,160,83,14367738,464.7,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0041,Propiq Synthetic Agency 041,Verified,149,82,15825150,400.0,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0319,Propiq Synthetic Agency 319,Standard,147,75,13629925,479.3,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0070,Propiq Synthetic Agency 070,Standard,130,53,14294995,429.5,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0036,Propiq Synthetic Agency 036,Premier,154,79,15031023,456.8,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0318,Propiq Synthetic Agency 318,Premier,147,73,15090764,462.2,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0188,Propiq Synthetic Agency 188,Verified,152,71,14009458,473.8,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0161,Propiq Synthetic Agency 161,Verified,167,77,13387098,435.5,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0269,Propiq Synthetic Agency 269,Verified,155,63,15724948,421.4,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0189,Propiq Synthetic Agency 189,Premier,161,63,14642100,426.8,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0185,Propiq Synthetic Agency 185,Verified,149,67,15894277,448.4,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0311,Propiq Synthetic Agency 311,Verified,163,83,14013321,477.1,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0017,Propiq Synthetic Agency 017,Verified,165,80,13199316,445.6,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0025,Propiq Synthetic Agency 025,Standard,137,56,16135302,420.3,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0014,Propiq Synthetic Agency 014,Verified,160,70,12377120,446.6,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0060,Propiq Synthetic Agency 060,Premier,154,69,15132062,459.2,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0287,Propiq Synthetic Agency 287,Verified,159,81,14058032,472.2,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0172,Propiq Synthetic Agency 172,Standard,162,76,14632800,429.7,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0019,Propiq Synthetic Agency 019,Standard,160,82,15340112,445.3,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0266,Propiq Synthetic Agency 266,Verified,162,80,14072336,459.4,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0102,Propiq Synthetic Agency 102,Premier,149,75,13918716,448.1,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0302,Propiq Synthetic Agency 302,Verified,153,74,13527776,433.5,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0229,Propiq Synthetic Agency 229,Standard,151,72,13626180,415.9,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0015,Propiq Synthetic Agency 015,Premier,127,49,11938938,441.4,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0255,Propiq Synthetic Agency 255,Premier,169,69,13945248,418.3,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0166,Propiq Synthetic Agency 166,Standard,151,70,13199747,419.1,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0250,Propiq Synthetic Agency 250,Standard,147,66,13447451,439.2,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0297,Propiq Synthetic Agency 297,Premier,150,64,14675630,464.8,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0249,Propiq Synthetic Agency 249,Premier,160,76,14025623,439.6,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0045,Propiq Synthetic Agency 045,Premier,179,81,17520804,424.0,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0008,Propiq Synthetic Agency 008,Verified,145,69,14056038,457.1,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0241,Propiq Synthetic Agency 241,Standard,143,67,14288976,433.1,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0046,Propiq Synthetic Agency 046,Standard,146,70,13981530,456.2,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0089,Propiq Synthetic Agency 089,Verified,137,60,11905520,428.1,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0248,Propiq Synthetic Agency 248,Verified,164,82,15595358,441.8,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0131,Propiq Synthetic Agency 131,Verified,123,60,13129746,454.3,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0079,Propiq Synthetic Agency 079,Standard,175,83,13354236,451.7,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0164,Propiq Synthetic Agency 164,Verified,151,77,14281431,498.7,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0013,Propiq Synthetic Agency 013,Standard,182,99,13492224,455.5,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0193,Propiq Synthetic Agency 193,Standard,157,64,14016348,418.2,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0142,Propiq Synthetic Agency 142,Standard,139,60,13997984,457.0,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0233,Propiq Synthetic Agency 233,Verified,156,79,13156913,478.0,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0094,Propiq Synthetic Agency 094,Standard,139,71,13565084,429.4,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0084,Propiq Synthetic Agency 084,Premier,155,62,13683724,413.5,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0207,Propiq Synthetic Agency 207,Premier,146,69,14804790,404.1,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0039,Propiq Synthetic Agency 039,Premier,137,67,13759290,458.0,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0127,Propiq Synthetic Agency 127,Standard,164,81,14404151,434.2,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0002,Propiq Synthetic Agency 002,Verified,144,51,14058974,439.9,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0111,Propiq Synthetic Agency 111,Premier,155,78,16060200,443.1,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0006,Propiq Synthetic Agency 006,Premier,159,76,13402528,450.7,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0059,Propiq Synthetic Agency 059,Verified,156,75,15165480,421.7,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0052,Propiq Synthetic Agency 052,Standard,159,88,15388664,496.9,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0273,Propiq Synthetic Agency 273,Premier,152,64,14867440,386.5,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0212,Propiq Synthetic Agency 212,Verified,162,79,13822754,469.9,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0124,Propiq Synthetic Agency 124,Standard,151,80,15687138,456.7,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0029,Propiq Synthetic Agency 029,Verified,149,69,13634544,440.4,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0312,Propiq Synthetic Agency 312,Premier,136,66,15062850,464.6,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0181,Propiq Synthetic Agency 181,Standard,155,72,14122320,433.7,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0213,Propiq Synthetic Agency 213,Premier,167,78,13630680,438.5,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0259,Propiq Synthetic Agency 259,Standard,190,88,14673140,461.9,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0301,Propiq Synthetic Agency 301,Standard,152,79,13393999,474.5,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0320,Propiq Synthetic Agency 320,Verified,158,76,15628464,462.2,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0069,Propiq Synthetic Agency 069,Premier,147,76,14336640,436.5,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0183,Propiq Synthetic Agency 183,Premier,153,65,13867140,426.8,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0280,Propiq Synthetic Agency 280,Standard,140,77,14494565,497.6,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0146,Propiq Synthetic Agency 146,Verified,161,75,12828200,431.5,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0281,Propiq Synthetic Agency 281,Verified,165,82,14163552,444.3,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0168,Propiq Synthetic Agency 168,Premier,160,83,15261750,429.5,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0062,Propiq Synthetic Agency 062,Verified,143,68,15158648,469.0,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0119,Propiq Synthetic Agency 119,Verified,147,76,15037080,449.9,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0265,Propiq Synthetic Agency 265,Standard,148,68,13945712,479.1,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0051,Propiq Synthetic Agency 051,Premier,140,77,15537618,478.3,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0027,Propiq Synthetic Agency 027,Premier,150,76,15012000,458.4,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0028,Propiq Synthetic Agency 028,Standard,134,68,15513108,465.5,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0055,Propiq Synthetic Agency 055,Standard,157,76,14155205,471.2,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0210,Propiq Synthetic Agency 210,Premier,156,85,14206422,471.9,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0298,Propiq Synthetic Agency 298,Standard,144,74,12529213,477.1,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0116,Propiq Synthetic Agency 116,Verified,134,72,14159040,462.6,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0057,Propiq Synthetic Agency 057,Premier,148,73,13208880,461.8,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0220,Propiq Synthetic Agency 220,Standard,173,67,14437950,409.9,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0198,Propiq Synthetic Agency 198,Premier,175,80,14640960,466.4,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0270,Propiq Synthetic Agency 270,Premier,137,63,13730975,461.6,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0258,Propiq Synthetic Agency 258,Premier,152,70,14080591,477.0,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0179,Propiq Synthetic Agency 179,Verified,163,81,14827772,449.2,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0123,Propiq Synthetic Agency 123,Premier,162,69,15183211,468.3,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0200,Propiq Synthetic Agency 200,Verified,148,65,16466919,450.9,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0167,Propiq Synthetic Agency 167,Verified,154,78,14440695,476.9,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0174,Propiq Synthetic Agency 174,Premier,155,75,16310112,415.5,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0199,Propiq Synthetic Agency 199,Standard,165,79,14477358,419.7,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0304,Propiq Synthetic Agency 304,Standard,152,68,12652325,456.1,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0099,Propiq Synthetic Agency 099,Premier,155,67,15140342,403.2,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0274,Propiq Synthetic Agency 274,Standard,139,74,15748005,465.5,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0044,Propiq Synthetic Agency 044,Verified,164,80,13077458,454.5,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0104,Propiq Synthetic Agency 104,Verified,155,76,12625591,422.6,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0101,Propiq Synthetic Agency 101,Verified,149,82,14506040,479.4,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0147,Propiq Synthetic Agency 147,Premier,161,75,13714541,428.5,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0307,Propiq Synthetic Agency 307,Standard,154,71,14863410,473.4,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0283,Propiq Synthetic Agency 283,Standard,171,91,15137480,468.1,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0105,Propiq Synthetic Agency 105,Premier,150,81,13978548,425.6,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0140,Propiq Synthetic Agency 140,Verified,159,92,15098040,453.8,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0184,Propiq Synthetic Agency 184,Standard,137,70,14882970,410.6,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0038,Propiq Synthetic Agency 038,Verified,171,87,13844164,476.5,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0113,Propiq Synthetic Agency 113,Verified,152,67,12024808,379.8,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0082,Propiq Synthetic Agency 082,Standard,171,93,14151358,471.9,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0157,Propiq Synthetic Agency 157,Standard,143,66,14415071,437.3,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0160,Propiq Synthetic Agency 160,Standard,144,70,14395395,433.7,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0100,Propiq Synthetic Agency 100,Standard,144,71,14099060,451.2,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0264,Propiq Synthetic Agency 264,Premier,161,86,15315696,449.9,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0148,Propiq Synthetic Agency 148,Standard,176,88,12310459,462.6,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0126,Propiq Synthetic Agency 126,Premier,149,71,13473626,436.7,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0043,Propiq Synthetic Agency 043,Standard,152,72,14784330,427.4,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0171,Propiq Synthetic Agency 171,Premier,134,58,15819219,408.9,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0300,Propiq Synthetic Agency 300,Premier,159,73,14526600,449.1,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0196,Propiq Synthetic Agency 196,Standard,154,76,13307568,413.5,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0278,Propiq Synthetic Agency 278,Verified,131,78,15148441,478.9,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0026,Propiq Synthetic Agency 026,Verified,135,66,16642935,497.4,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0218,Propiq Synthetic Agency 218,Verified,166,86,16046940,434.6,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0023,Propiq Synthetic Agency 023,Verified,128,49,12762588,403.3,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0121,Propiq Synthetic Agency 121,Standard,164,77,13746228,448.3,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0003,Propiq Synthetic Agency 003,Premier,157,75,13425104,432.3,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0163,Propiq Synthetic Agency 163,Standard,155,72,15400650,446.0,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0103,Propiq Synthetic Agency 103,Standard,138,66,14707856,456.9,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0208,Propiq Synthetic Agency 208,Standard,168,77,15894606,456.3,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0016,Propiq Synthetic Agency 016,Standard,154,80,14420100,441.6,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0130,Propiq Synthetic Agency 130,Standard,146,71,13704084,457.6,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0245,Propiq Synthetic Agency 245,Verified,182,75,14286678,404.2,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0293,Propiq Synthetic Agency 293,Verified,162,87,12978630,463.7,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0299,Propiq Synthetic Agency 299,Verified,159,79,14408774,464.0,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0219,Propiq Synthetic Agency 219,Premier,152,82,15898434,455.2,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0040,Propiq Synthetic Agency 040,Standard,122,55,12984280,437.5,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0224,Propiq Synthetic Agency 224,Verified,147,78,16345518,470.6,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0206,Propiq Synthetic Agency 206,Verified,179,87,15329272,471.4,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0162,Propiq Synthetic Agency 162,Premier,136,65,14627144,487.8,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0067,Propiq Synthetic Agency 067,Standard,163,72,13541680,450.9,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0294,Propiq Synthetic Agency 294,Premier,157,65,15810456,416.5,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0031,Propiq Synthetic Agency 031,Standard,159,89,13357128,479.7,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0309,Propiq Synthetic Agency 309,Premier,145,70,14568528,442.4,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0192,Propiq Synthetic Agency 192,Premier,153,81,14831696,511.7,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0132,Propiq Synthetic Agency 132,Premier,134,71,16533504,470.3,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0083,Propiq Synthetic Agency 083,Verified,158,72,13968316,436.2,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0004,Propiq Synthetic Agency 004,Standard,151,76,14447506,463.8,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0243,Propiq Synthetic Agency 243,Premier,151,75,15386809,457.8,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0091,Propiq Synthetic Agency 091,Standard,157,77,13280332,414.5,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0095,Propiq Synthetic Agency 095,Verified,161,58,14844066,381.7,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0107,Propiq Synthetic Agency 107,Verified,140,67,15312583,435.2,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0305,Propiq Synthetic Agency 305,Verified,143,74,14859581,437.4,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0141,Propiq Synthetic Agency 141,Premier,163,77,14159160,450.1,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0253,Propiq Synthetic Agency 253,Standard,163,71,14322810,442.8,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0090,Propiq Synthetic Agency 090,Premier,165,78,14349062,418.1,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0205,Propiq Synthetic Agency 205,Standard,161,77,14967085,457.1,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0005,Propiq Synthetic Agency 005,Verified,134,65,12516751,450.1,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0085,Propiq Synthetic Agency 085,Standard,166,87,13150564,435.5,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0260,Propiq Synthetic Agency 260,Verified,174,73,15916642,447.0,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0276,Propiq Synthetic Agency 276,Premier,135,63,13112990,466.2,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0024,Propiq Synthetic Agency 024,Premier,136,67,13253094,448.0,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0310,Propiq Synthetic Agency 310,Standard,151,69,13722250,439.7,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0037,Propiq Synthetic Agency 037,Standard,157,71,15257394,459.1,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0234,Propiq Synthetic Agency 234,Premier,138,64,13924044,480.4,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0194,Propiq Synthetic Agency 194,Verified,144,73,13499400,455.8,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0177,Propiq Synthetic Agency 177,Premier,148,77,14306468,469.2,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0262,Propiq Synthetic Agency 262,Standard,137,62,13841469,458.9,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0272,Propiq Synthetic Agency 272,Verified,174,71,14760984,465.6,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0165,Propiq Synthetic Agency 165,Premier,165,86,12549960,475.1,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0064,Propiq Synthetic Agency 064,Standard,162,72,15262039,428.4,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0143,Propiq Synthetic Agency 143,Verified,141,61,15948504,459.3,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0211,Propiq Synthetic Agency 211,Standard,144,75,12231649,473.3,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0072,Propiq Synthetic Agency 072,Premier,126,60,15047604,424.9,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0106,Propiq Synthetic Agency 106,Standard,155,74,15157380,419.2,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0226,Propiq Synthetic Agency 226,Standard,164,80,13546218,433.6,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0159,Propiq Synthetic Agency 159,Premier,182,95,12934348,467.0,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0007,Propiq Synthetic Agency 007,Standard,149,67,14169033,437.8,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0076,Propiq Synthetic Agency 076,Standard,143,67,12652384,466.9,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0230,Propiq Synthetic Agency 230,Verified,163,76,14700339,487.7,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
