record_uid,listing_id,locality_id,broker_id,property_key,price_band_key,listing_status,asking_price_inr,built_up_area_sqft,price_per_sqft,calculated_price_per_sqft,price_per_sqft_variance,listing_created_date,completion_date,last_updated_timestamp,is_completed,is_chronology_valid,actual_days_on_market,days_since_last_update,days_on_market_status_aware,_gold_created_at,_gold_schema_version
LISTING-PHY-0000316,LST-0000316,LOC-065,BRK-0318,9,1,rented,2556036,441,5796,5796,0,2025-05-06,2025-07-22,2025-08-18T14:05:40.000Z,true,true,77,354,77,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000318,LST-0000318,LOC-031,BRK-0075,1,3,withdrawn,15628165,1655,9443,9443,0,2024-06-03,,2024-06-13T08:47:27.000Z,false,,,785,836,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000319,LST-0000319,LOC-003,BRK-0131,5,4,active,22961288,2492,9214,9214,0,2024-08-13,,2024-08-15T02:53:40.000Z,false,,,722,765,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000327,LST-0000327,LOC-049,BRK-0053,2,2,active,9638838,1458,6611,6611,0,2025-06-06,,2025-10-06T07:43:57.000Z,false,,,305,468,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000332,LST-0000332,LOC-046,BRK-0252,3,2,withdrawn,8862429,2001,4429,4429,0,2025-06-15,,2025-08-26T04:29:14.000Z,false,,,346,459,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000337,LST-0000337,LOC-048,BRK-0118,9,2,paused,8136179,571,14249,14249,0,2026-02-20,,2026-03-17T07:59:49.000Z,false,,,143,209,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000344,LST-0000344,LOC-055,BRK-0092,1,4,sold,32355126,2619,12354,12354,0,2025-05-04,2025-07-24,2025-06-26T02:51:28.000Z,true,true,81,407,81,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000348,LST-0000348,LOC-054,BRK-0152,3,3,sold,13391132,1367,9796,9796,0,2024-10-18,2025-03-08,2025-02-07T17:19:54.000Z,true,true,141,546,141,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000353,LST-0000353,LOC-059,BRK-0031,2,3,active,12738189,1123,11343,11343,0,2024-08-18,,2024-11-24T03:53:28.000Z,false,,,621,760,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000356,LST-0000356,LOC-022,BRK-0113,9,1,rented,4023873,483,8331,8331,0,2025-02-11,2025-06-18,2025-02-18T20:49:44.000Z,true,true,127,535,127,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000363,LST-0000363,LOC-062,BRK-0190,1,3,active,11087734,1733,6398,6398,0,2024-08-04,,2024-11-15T10:09:35.000Z,false,,,630,774,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000369,LST-0000369,LOC-016,BRK-0283,2,4,rented,21052130,1166,18055,18055,0,2024-09-13,2025-04-04,2024-12-13T10:04:41.000Z,true,true,203,602,203,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000372,LST-0000372,LOC-065,BRK-0121,2,2,withdrawn,7173144,1188,6038,6038,0,2024-10-31,,2025-02-09T04:17:22.000Z,false,,,544,686,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000373,LST-0000373,LOC-031,BRK-0128,13,3,active,14488902,1413,10254,10254,0,2025-08-07,,2025-10-31T01:47:50.000Z,false,,,280,406,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000382,LST-0000382,LOC-079,BRK-0174,2,2,active,5398926,494,10929,10929,0,2024-02-29,,2024-03-17T15:11:03.000Z,false,,,873,931,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000387,LST-0000387,LOC-069,BRK-0098,2,2,sold,5845410,1214,4815,4815,0,2025-09-05,2025-10-01,2025-10-16T01:30:21.000Z,true,true,26,295,26,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000388,LST-0000388,LOC-074,BRK-0293,2,3,active,12541160,1570,7988,7988,0,2024-01-05,,2024-01-10T01:03:53.000Z,false,,,940,986,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000389,LST-0000389,LOC-030,BRK-0012,15,4,rented,22841280,2772,8240,8240,0,2024-07-11,2024-07-20,2024-10-17T09:50:13.000Z,true,true,9,659,9,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000394,LST-0000394,LOC-079,BRK-0316,6,4,active,32435070,3385,9582,9582,0,2026-03-15,,2026-06-30T00:00:00.000Z,false,,,38,186,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000398,LST-0000398,LOC-006,BRK-0054,1,3,rented,11628750,1750,6645,6645,0,2024-07-30,2024-09-06,2024-09-27T00:50:48.000Z,true,true,38,679,38,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000404,LST-0000404,LOC-032,BRK-0142,2,4,paused,22014504,1272,17307,17307,0,2024-12-05,,2025-01-06T07:31:21.000Z,false,,,578,651,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000409,LST-0000409,LOC-016,BRK-0027,15,4,expired,24329668,1364,17837,17837,0,2024-07-25,,2024-11-01T23:06:51.000Z,false,,,644,784,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000413,LST-0000413,LOC-079,BRK-0112,5,3,active,11205516,1862,6018,6018,0,2024-10-06,,2024-11-07T04:25:58.000Z,false,,,638,711,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000418,LST-0000418,LOC-063,BRK-0269,2,3,active,18765314,1598,11743,11743,0,2025-06-10,,2025-06-14T10:57:47.000Z,false,,,419,464,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000434,LST-0000434,LOC-060,BRK-0097,2,4,active,24039070,1210,19867,19867,0,2024-06-16,,2024-08-02T08:18:51.000Z,false,,,735,823,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000437,LST-0000437,LOC-011,BRK-0160,8,2,active,9239992,604,15298,15298,0,2024-12-03,,2024-12-04T09:30:06.000Z,false,,,611,653,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000438,LST-0000438,LOC-033,BRK-0242,1,3,active,13157160,2490,5284,5284,0,2024-06-08,,2024-09-11T12:25:08.000Z,false,,,695,831,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000443,LST-0000443,LOC-014,BRK-0113,3,3,sold,18511072,1906,9712,9712,0,2025-01-27,2025-06-24,2025-04-12T04:00:30.000Z,true,true,148,482,148,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000444,LST-0000444,LOC-038,BRK-0088,5,4,rented,23718875,3875,6121,6121,0,2024-01-18,2024-05-26,2024-05-12T05:53:30.000Z,true,true,129,817,129,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000452,LST-0000452,LOC-057,BRK-0118,2,2,rented,8574800,1360,6305,6305,0,2025-09-03,2025-10-29,2025-11-02T04:28:35.000Z,true,true,56,278,56,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000458,LST-0000458,LOC-001,BRK-0250,5,3,active,11249738,2657,4234,4234,0,2025-12-18,,2026-01-07T05:23:26.000Z,false,,,212,273,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000464,LST-0000464,LOC-024,BRK-0305,2,4,active,29434776,1446,20356,20356,0,2026-01-31,,2026-04-19T15:49:04.000Z,false,,,110,229,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000469,LST-0000469,LOC-079,BRK-0275,14,4,rented,26404600,2809,9400,9400,0,2024-12-12,2025-04-29,2025-03-20T14:46:17.000Z,true,true,138,505,138,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000474,LST-0000474,LOC-011,BRK-0236,14,4,sold,30349896,3057,9928,9928,0,2024-02-02,2024-04-05,2024-05-12T15:39:02.000Z,true,true,63,817,63,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000478,LST-0000478,LOC-003,BRK-0139,2,3,active,16983384,1518,11188,11188,0,2025-02-10,,2025-03-04T04:01:09.000Z,false,,,521,584,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000481,LST-0000481,LOC-042,BRK-0018,9,1,active,2313850,350,6611,6611,0,2024-09-04,,2024-12-23T15:00:28.000Z,false,,,592,743,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000483,LST-0000483,LOC-007,BRK-0231,2,3,active,13793760,1240,11124,11124,0,2024-10-19,,2024-12-14T06:32:07.000Z,false,,,601,698,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000487,LST-0000487,LOC-002,BRK-0174,2,2,rented,9566152,1208,7919,7919,0,2025-07-17,2026-02-21,2025-12-06T08:25:58.000Z,true,true,219,244,219,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000488,LST-0000488,LOC-023,BRK-0007,3,3,active,16393854,1663,9858,9858,0,2025-02-09,,2025-07-07T07:50:00.000Z,false,,,396,585,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000491,LST-0000491,LOC-014,BRK-0196,9,1,active,3779824,404,9356,9356,0,2025-12-27,,2026-02-04T21:42:34.000Z,false,,,184,264,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000498,LST-0000498,LOC-015,BRK-0144,3,3,active,17418820,2185,7972,7972,0,2024-06-19,,2024-09-05T11:44:11.000Z,false,,,701,820,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000502,LST-0000502,LOC-007,BRK-0292,8,2,withdrawn,7118007,687,10361,10361,0,2025-11-10,,2025-12-17T05:20:33.000Z,false,,,233,311,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000508,LST-0000508,LOC-071,BRK-0234,13,3,active,16979004,1821,9324,9324,0,2025-07-20,,2025-11-01T23:56:40.000Z,false,,,279,424,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000509,LST-0000509,LOC-055,BRK-0073,5,4,expired,42834900,3145,13620,13620,0,2024-06-14,,2024-10-18T17:23:03.000Z,false,,,658,825,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000512,LST-0000512,LOC-031,BRK-0299,9,2,active,6459960,533,12120,12120,0,2025-08-16,,2025-11-13T20:41:38.000Z,false,,,267,397,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
